관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26440-00082,도요새공원,소공원,,부산광역시 강서구 명지동 3604-4,35.0918359,128.9084248,1334.4,,,,,파고라+등의자,2016-06-15,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00083,1호 문화공원,문화공원,,부산광역시 강서구 명지동 3483-5,35.1075331,128.9220272,688.2,,,,,,2017-04-12,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00084,금호공원,근린공원,,부산광역시 강서구 대저2동 3146-2,35.16580654,128.9536671,14220.5,농구장+족구장,,,,파고라+등의자+평의자+조형의자,2006-11-21,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00085,연정1공원,소공원,,부산광역시 강서구 대저1동 1318-82,35.218336,128.968132,405,,,,,,2013-01-23,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00086,범방소공원,소공원,,부산광역시 강서구 범방동 1859-14,35.15072479,128.8833845,446.2,,,,,평의자+원형벤치+파고라,2006-02-28,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00059,가리새공원,소공원,,부산광역시 강서구 범방동 1923,35.138436,128.890437,988,,,,,파고라+등의자+평의자,2010-03-03,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00060,금병공원,어린이공원,,부산광역시 강서구 범방동 1875-4,35.149572,128.882679,3820.8,롤링머신+트위스트머신+풀리머신+암휠+싸이클론,조합놀이대+흔들놀이대(3)+시소,,,파고라+육각정자+등의자+평의자,2010-03-03,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00061,사구범방대수변공원,수변공원,,부산광역시 강서구 범방동 1891,35.149228,128.8857877,9833.3,12,,,,파고라+등의자+평의자+원형의자,2010-03-03,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00062,가리새수변공원,수변공원,,부산광역시 강서구 범방동 1913,35.14278145,128.8874917,33858,족구장(2)+농구장+등허리지압기+온몸역기내리기-평행봉(2)+온몸노젓기-온몸허리돌리기(2)+옆파도타기-양팔줄당기기(2)+하늘걷기-어깨근육풀기(2)+다리뻗치기-윗몸일으키기(2),,,,파고라+평의자+원형의자,2010-03-03,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00063,물결공원,근린공원,,부산광역시 강서구 명지동 3403,35.09398169,128.9125905,17477.5,터닝암+사이드스윙+스카이워킹+푸시웨이트+러닝사이클+레그프레스+크로스워킹,,,,파고라+원형파고라+평의자+등의자+앉음벽+야외테이블+수경시설+자전거보관대,2008-12-31,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00074,태야공원,근린공원,,부산광역시 강서구 미음동 1659,35.14594508,128.8730082,123224,레그프레스+롤러마사지(2)+싸이클론+풀리머신+롤링머신(2)+숄더휠+체스트프레스+트위스트머신(2)+에어워커(2)+레그스트레치,,음수기,,파고라+평의자+등의자+안내판+앉음벽+,2010-03-03,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
26440-00064,소리공원,근린공원,,부산광역시 강서구 명지동 3398,35.097566,128.9121426,9167.4,족구장+온몸역기내리기+온몸노젓기+다리뻗치기+온몸허리돌리기,,,,파고라+평의자+등의자+앉음벽+자전거보관대,2013-07-24,부산광역시 강서구청 녹지공원과,051-970-4531,2025-08-24
