관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26320-00081,화명중앙공원,문화공원,부산광역시 북구 학사로 128,부산광역시 북구 화명동 2279,35.23375269,129.0084538,11977.5,하늘걷기+마라톤운동기+다리뻗치기+어깨근육풀기+온몸노젖기,,파고라,화장실,,2012-08-01,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00080,구포문화공원,문화공원,부산광역시 북구 낙동북로 755(구포동),부산광역시 북구 구포동 779-4,35.20078252,129.0020948,83210,,,파고라,,,2006-04-26,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00079,만덕사지당간지주역사공원,역사공원,,부산광역시 북구 만덕동 784,35.21553348,129.0434376,349,,,,,,2016-08-17,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00078,공립수목원,근린공원,,부산광역시 북구 화명동 39-1,35.25100773,129.0426586,110653,,,,,,2005-10-26,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00077,화정근린공원,근린공원,,부산광역시 북구 화명동 2328,35.22224877,129.0097404,10051.1,하늘걷기+마라톤운동기+온몸노젖기,흔들놀이기구,파고라,화장실,,2008-11-12,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00076,수정근린공원,근린공원,,부산광역시 북구 화명동 2321,35.22261326,129.0062975,10015.5,거꾸리+윗몸일으키기+옆파도타기+양팔줄당기기+어깨근육풀기+온몸노젖기+허리돌리기,,파고라,,,2001-10-12,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00075,현충근린공원,근린공원,부산광역시 북구 금곡대로229번길 83(화명동),부산광역시 북구 화명동 2304,35.22916235,129.0079977,10002.1,윗몸일으키기+옆파도타기+하늘걷기+마라톤운동기+양팔줄당기기+온몸역기올리기+허리돌리기,,파고라,화장실,,2001-10-12,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00074,명진근린공원,근린공원,,부산광역시 북구 화명동 2260,35.2386335,129.0095397,10000.6,3단철봉+거꾸리+옆파도타기+마라톤운동기+등허리지압기+양팔줄당기기+온몸근육풀기+온몸노젖기+온몸역기내리기+허리돌리기+기타,,파고라,,,2001-10-12,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00073,양달숲근린공원,근린공원,,부산광역시 북구 화명동 187,35.24460876,129.0149080,22525.4,,,,,,1995-05-23,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00072,화명근린공원,근린공원,,부산광역시 북구 화명동 918-2,35.22421216,129.0148203,50919,3단철봉+거꾸리+옆파도타기+농구대+마라톤운동기+다리뻗치기+양팔줄당기기+온몸역기올리기+온몸역기내리기+버터플라이머신+허리돌리기,조합놀이대+흔들놀이기구+그네,파고라,화장실,,2002-08-24,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00071,백양근린공원,근린공원,부산광역시 북구 은행나무로26,부산광역시 북구 만덕동 843,35.20724231,129.0377929,33618.3,3단철봉+거꾸리+윗몸일으키기+옆파도타기+하늘걷기+다리뻗치기+양팔줄당기기+어깨근육풀기+온몸노젖기+허리돌리기,조합놀이대+흔들놀이기구+그네,파고라,,,1999-12-08,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00070,덕천근린공원,근린공원,,부산광역시 북구 덕천동 산93,35.21692179,129.0073605,155982,거꾸리+벤치역기대+윗몸일으키기+옆파도타기+하늘걷기+마라톤운동기+온몸근육풀기+온몸노젖기+온몸역기내리기+허리돌리기,,파고라,,,1997-10-11,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00069,덕천개발지구(휴공원),근린공원,,부산광역시 북구 덕천동 807,35.20795005,129.0131982,12741.1,3단철봉+거꾸리+윗몸일으키기+옆파도타기+평행봉+하늘걷기+양팔줄당기기+온몸근육풀기+어깨근육풀기+온몸노젖기+온몸역기올리기+온몸역기내리기+허리돌리기+기타,,파고라,,,1993-11-01,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00068,금곡근린공원,근린공원,부산광역시 북구 효열로158,부산광역시 북구 금곡동 100-1,35.25942702,129.0161609,11908.9,,조합놀이대,파고라,,,1997-05-25,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00067,구포생태근린공원,근린공원,,부산광역시 북구 구포동 1250-18,35.19434626,129.0116428,7640,,,,,,1992-09-22,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00066,백양숲공원,근린공원,,부산광역시 북구 구포동 1245,35.19439942,129.0142700,11852.6,,,,,,1992-09-22,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00065,사기천소공원,소공원,,부산광역시 북구 만덕동 447-6,35.214573,129.0438902,221,,,,,,2016-08-17,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00064,거북소공원,소공원,,부산광역시 북구 구포동 882-30,35.19755725,129.0019476,742,,,파고라,,,2011-11-16,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00063,와석소공원,소공원,,부산광역시 북구 화명동 1417-12,35.2354418,129.0150153,670,1단철봉+하늘걷기+마라톤운동기+양팔줄당기기+어깨근육풀기+허리돌리기,조합놀이대+흔들놀이기구,파고라,,,2013-08-28,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00062,덕천소공원,소공원,,부산광역시 북구 덕천동 819,35.21377598,129.0092095,1284.4,,,파고라,,,2022-04-13,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00061,상학소공원,소공원,,부산광역시 북구 만덕동 961-1,35.21652463,129.0338143,1434.9,,,,,,2018-03-28,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00060,상계소공원,소공원,,부산광역시 북구 만덕동 961-4,35.21584491,129.0331906,574.3,,,,,,2018-03-28,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00059,사기소공원,소공원,,부산광역시 북구 만덕동 산30번지 일원,35.2163455,129.0431262,1680,,,,,,2020-12-23,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00058,의성1소공원,소공원,,부산광역시 북구 덕천동 360-17번지 일원,35.21399013,129.0169994,746.6,,,,,,2022-04-13,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00057,의성2소공원,소공원,,부산광역시 북구 덕천동 376-13번지 일원,35.21324233,129.0169571,740.6,,,,,,2022-04-13,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00056,소공원,소공원,,부산광역시 북구 금곡동 910-20번지,35.25455693,129.0121770,1505,,,,,,2020-03-18,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00055,희망공원,어린이공원,,부산광역시 북구 화명동 2311,35.22628162,129.0095189,1500.2,,조합놀이대+흔들놀이기구,파고라,,,1996-01-10,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00054,행복공원,어린이공원,,부산광역시 북구 금곡동 810-2,35.25839307,129.0161711,3325.2,윗몸일으키기+옆파도타기+하늘걷기+양팔줄당기기+온몸근육풀기+온몸노젖기+온몸역기올리기+허리돌리기,조합놀이대+흔들놀이기구,파고라,,,1996-06-01,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00053,함박공원,어린이공원,부산광역시 북구 은행나무로36번길17,부산광역시 북구 만덕동 853-1,35.20597297,129.0386553,1528.8,3단철봉+벤치역기대+복근대+윗몸일으키기+평행봉+다리뻗치기+온몸근육풀기+온몸역기올리기+온몸역기내리기+허리돌리기,조합놀이대,,경로당,,2002-08-01,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00052,한빛공원,어린이공원,부산광역시 북구 만덕1로41-13,부산광역시 북구 만덕동 831,35.21382724,129.0330222,747,,조합놀이대+그네,파고라,,,2001-07-26,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00051,한마음공원,어린이공원,,부산광역시 북구 만덕동 922-2,35.21177941,129.0315410,2886.2,게이트볼장+3단철봉+거꾸리+링래더+매달려건너기+복근대+오금펴기+윗몸일으키기+옆파도타기+평행봉+하늘걷기+마라톤운동기+다리뻗치기+등허리지압기+양팔줄당기기+온몸역기올리기+버터플라이머신+허리돌리기,조합놀이대,파고라,화장실,,1987-04-10,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00050,하얀마음공원,어린이공원,,부산광역시 북구 만덕동 955-4,35.20529686,129.0336286,1951,옆파도타기+양팔줄당기기+허리돌리기,조합놀이대+흔들놀이기구+그네+기타,파고라,,,2013-09-11,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00049,하늘공원,어린이공원,,부산광역시 북구 만덕동 944-7,35.20306969,129.0358741,2274.3,옆파도타기+하늘걷기+농구대+마라톤운동기+허리돌리기,조합놀이대+흔들놀이기구,파고라,,,1996-03-20,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00048,포천공원,어린이공원,,부산광역시 북구 구포동 1230-4,35.19699994,129.0097491,1500.7,농구대+거꾸리+윗몸일으키기+옆파도타기+하늘걷기+마라톤운동기+다리뻗치기+온몸근육풀기+어깨근육풀기+허리돌리기,조합놀이대,파고라,,,1984-03-22,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00047,파란마음공원,어린이공원,,부산광역시 북구 만덕동 956-1,35.20837827,129.0356658,1596.1,옆파도타기+마라톤운동기+온몸근육풀기,조합놀이대,파고라,,,2013-09-11,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00046,철쭉공원,어린이공원,,부산광역시 북구 덕천동 787,35.21029607,129.0211800,890.4,벤치역기대+오금펴기+윗몸일으키기+옆파도타기+하늘걷기+어깨근육풀기+허리돌리기,조합놀이대,파고라,,,1980-03-03,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00045,천사공원,어린이공원,,부산광역시 북구 금곡동 1884,35.24436499,129.0107755,1500.2,자전거타기+마라톤운동기+다리뻗치기+등허리지압기+양팔줄당기기+허리돌리기,조합놀이대,파고라,,,1996-01-10,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00044,직녀공원,어린이공원,,부산광역시 북구 화명동 750-1,35.23441688,129.0198797,2820.9,윗몸일으키기+옆파도타기+하늘걷기+온몸근육풀기+허리돌리기,조합놀이대+흔들놀이기구+기타,파고라,,,1999-04-27,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00043,음정공원,어린이공원,,부산광역시 북구 구포동 1200,35.20611452,129.0102457,1365.5,하늘걷기+양팔줄당기기+어깨근육풀기+허리돌리기,조합놀이대+그네,파고라,,,1984-03-22,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00042,율리공원,어린이공원,,부산광역시 북구 금곡동 1116-1,35.24819223,129.0144382,1608.5,,조합놀이대+흔들놀이기구+오르는기구+기타,파고라,,,1991-07-06,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00041,우신자연공원,어린이공원,부산광역시 북구 산성로 12번길35,부산광역시 북구 화명동 1426-2,35.23763153,129.0154303,2407.1,농구대+거꾸리+옆파도타기+팔굽혀펴기+하늘걷기+마라톤운동기+온몸근육풀기+온몸역기내리기+허리돌리기+기타,조합놀이대+그네,,경로당,,1998-08-27,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00040,우리공원,어린이공원,,부산광역시 북구 금곡동 98-2,35.26023674,129.0152698,1600.4,,그네,파고라,,,1991-01-09,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00039,용당공원,어린이공원,,부산광역시 북구 화명동 2301-1,35.23129716,129.0099322,1500.2,,조합놀이대+그네,파고라,,,1996-01-10,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00038,열린공원,어린이공원,,부산광역시 북구 금곡동 1112-1,35.25137122,129.0137086,1500,농구대+거꾸리+옆파도타기+하늘걷기+양팔줄당기기+온몸역기올리기+온몸역기내리기+허리돌리기,조합놀이대+흔들놀이기구,파고라,,,1991-07-06,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00037,신덕공원,어린이공원,,부산광역시 북구 만덕동 943-3,35.20390278,129.0309305,2809,농구대+윗몸일으키기+옆파도타기+하늘걷기+다리뻗치기+양팔줄당기기+어깨근육풀기,조합놀이대+흔들놀이기구,파고라,,,1996-03-20,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00036,시랑공원,어린이공원,,부산광역시 북구 구포동 1214-39,35.20187899,129.0058005,1460.8,1단철봉+거꾸리+옆파도타기+하늘걷기+다리뻗치기+양팔줄당기기+어깨근육풀기+허리돌리기,조합놀이대+그네,파고라,,,2003-04-24,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00035,쉼터공원,어린이공원,,부산광역시 북구 덕천동 809-2,35.20970196,129.0175599,1593,게이트볼장+온몸역기올리기+온몸역기내리기+허리돌리기,조합놀이대,,화장실,,1988-12-23,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00034,숙등공원,어린이공원,부산광역시 북구 의성로 115번길71,부산광역시 북구 덕천동 410-4,35.21138646,129.0145546,1709.9,거꾸리+옆파도타기+하늘걷기+양팔줄당기기+어깨근육풀기+허리돌리기,조합놀이대+그네,파고라,,,1998-01-06,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00033,솔내음공원,어린이공원,,부산광역시 북구 화명동 2329,35.21856941,129.0094446,1578.3,,조합놀이대+흔들놀이기구,파고라,,,2006-06-28,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00032,솔공원,어린이공원,,부산광역시 북구 금곡동 97-2,35.26318308,129.0196917,1600,옆파도타기+하늘걷기+온몸근육풀기,조합놀이대+흔들놀이기구+그네,파고라,,,1991-01-09,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00031,새싹공원,어린이공원,,부산광역시 북구 화명동 2320,35.22337164,129.0064614,1500.3,,조합놀이대+흔들놀이기구+그네,파고라,,,1996-01-10,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00030,상록공원,어린이공원,부산광역시 북구 덕천로 366,부산광역시 북구 만덕동 892,35.20928321,129.0436398,1444.7,거꾸리+자전거타기+마라톤운동기+다리뻗치기+등허리지압기+양팔줄당기기+온몸근육풀기+허리돌리기,조합놀이대+흔들놀이기구,파고라,경로당,,1982-03-24,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00029,사랑공원,어린이공원,,부산광역시 북구 금곡동 1107,35.25412096,129.0143924,3600,,조합놀이대+흔들놀이기구+그네,파고라,화장실,,1991-07-06,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00028,강변둥지공원,어린이공원,,부산광역시 북구 화명동 188-2,35.24215478,129.0141821,2195.7,양팔줄당기기+어깨근육풀기+허리돌리기,조합놀이대+흔들놀이기구+그네,파고라,,,1995-06-23,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00027,백포공원,어린이공원,,부산광역시 북구 화명동 2263,35.23778382,129.0109025,1500.2,,조합놀이대+그네,파고라,,,1996-01-10,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00026,백운공원,어린이공원,,부산광역시 북구 만덕동 863-2,35.20684342,129.0411090,1595,하늘걷기+마라톤운동기+등허리지압기+어깨근육풀기+온몸역기내리기,조합놀이대+흔들놀이기구,파고라,,,1982-03-24,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00025,민주공원,어린이공원,,부산광역시 북구 금곡동 1115,35.24886681,129.0146713,1740.6,3단철봉+평행봉+하늘걷기+양팔줄당기기+허리돌리기,조합놀이대,파고라,,,1995-05-25,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00024,미래공원,어린이공원,,부산광역시 북구 금곡동 811-2,35.25762202,129.0141258,2125,옆파도타기+허리돌리기,조합놀이대+흔들놀이기구+그네,파고라,,,1996-06-01,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00023,동심초공원,어린이공원,,부산광역시 북구 만덕동 925-2,35.2096799,129.0289059,1500,배드민턴장+3단철봉+하늘걷기+마라톤운동기+온몸근육풀기+허리돌리기,조합놀이대,파고라,화장실,,1990-04-27,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00022,동심공원,어린이공원,부산광역시 북구 덕천로 320,부산광역시 북구 만덕동 872-3,35.20899751,129.0387598,1600.2,원형허리돌리기+윗몸일으키기+평행봉+하늘걷기+양팔줄당기기+어깨근육풀기,,파고라,,,1982-03-24,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00021,덕천공원,어린이공원,부산광역시 북구 의성로127번길108,부산광역시 북구 덕천동 811-1,35.21058674,129.0170701,1580.9,거꾸리+윗몸일으키기+평행봉+하늘걷기+다리뻗치기+온몸역기내리기+허리돌리기,흔들놀이기구,,,,2009-12-09,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00020,덕내공원,어린이공원,,부산광역시 북구 덕천동 342-6,35.21380126,129.0137845,1942.5,3단철봉+거꾸리+윗몸일으키기+옆파도타기+평행봉+하늘걷기+마라톤운동기+양팔줄당기기+어깨근육풀기+온몸노젖기+허리돌리기,조합놀이대+흔들놀이기구+그네,파고라,화장실,,1994-03-30,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00019,대천천수변공원,어린이공원,,부산광역시 북구 화명동 311,35.24327534,129.0224416,1544.4,1단철봉+하늘걷기+마라톤운동기+양팔줄당기기,조합놀이대+흔들놀이기구,파고라,,,1996-06-01,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00018,대천공원,어린이공원,,부산광역시 북구 금곡동 1897,35.241114,129.0114933,1500.2,복근기르기+허리돌리기+가로하늘타기+양팔줄당기기+하늘타기,조합놀이대+기타,파고라,,,1996-01-10,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
26320-00017,남산정공원,어린이공원,,부산광역시 북구 덕천동 814-7,35.21574398,129.0227987,2433.5,농구대+거꾸리+윗몸일으키기+옆파도타기+평행봉+하늘걷기+양팔줄당기기+어깨근육풀기+온몸역기올리기+허리돌리기,조합놀이대+흔들놀이기구+그네,파고라,,,1990-11-23,부산광역시 북구청 공원녹지과,051-309-2054,2025-06-18
