관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26380-00015,더불어공원,어린이공원,,부산광역시 사하구 다대동 86-1,35.06674161,128.9825515,1784,,,,,,1983-01-26,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00016,다대포 근린공원,근린공원,,부산광역시 사하구 다대동 1548-10,35.05011503,128.9628057,21365.7,,,,,,1983-01-26,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00017,아미산자생식물원,근린공원,,부산광역시 사하구 다대동 929,35.06088807,128.9705132,27969.3,,,,,,1985-12-26,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00018,제2운동공원,근린공원,,부산광역시 사하구 장림동 산145,35.07549083,128.9576218,18485,,,,,,1986-12-02,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00019,제3체육공원,체육공원,,부산광역시 사하구 다대동 산103,35.06040949,128.961317,5994,,,,,,1986-12-02,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00020,해바라기공원,어린이공원,,부산광역시 사하구 하단동 1184-4,35.09927344,128.9579837,1701,,,,,,1988-03-05,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00021,솔밭공원,어린이공원,,부산광역시 사하구 다대동 113-16,35.06165936,128.9745708,1828.3,,,,,,1988-12-17,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00022,해송공원,어린이공원,,부산광역시 사하구 다대동 113-7,35.06616046,128.9788592,2099.7,,,,,,1988-12-17,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00023,은빛공원,어린이공원,,부산광역시 사하구 다대동 113-4,35.06724935,128.9780931,1762.5,,,,,,1988-12-17,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00024,새싹공원,어린이공원,,부산광역시 사하구 다대동 94-7,35.0632643,128.9875102,2928.1,,,,,,1990-11-16,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00025,다송공원,어린이공원,,부산광역시 사하구 다대동 94-1,35.06858736,128.9805874,3142.9,,,,,,1990-11-16,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00026,두송공원,어린이공원,,부산광역시 사하구 다대동 94-3,35.06629567,128.9853734,7713.7,,,,,,1990-11-16,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00027,신평레포츠공원,체육공원,,부산광역시 사하구 신평동 651-9,35.09324072,128.959711,13223.1,,,,,,1994-03-10,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00028,공간공원,어린이공원,,부산광역시 사하구 다대동 85-14,35.06618505,128.9805657,266.7,,,,,,1994-11-18,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00033,대성공원,어린이공원,,부산광역시 사하구 다대동 1552-3,35.04870983,128.9672813,1516.2,,,,,,1995-12-08,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00034,중현공원,어린이공원,,부산광역시 사하구 다대동 1550-5,35.05139146,128.9670788,1500.4,,,,,,1995-12-08,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00035,응봉공원,어린이공원,,부산광역시 사하구 다대동 1549-1,35.05154267,128.9611924,1500.3,,,,,,1995-12-08,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00036,조성공원,어린이공원,,부산광역시 사하구 다대동 1548-16,35.04986397,128.9645862,1691.5,,,,,,1995-12-08,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00037,씨앗공원,어린이공원,,부산광역시 사하구 구평동 201,35.07721144,128.9902403,1802.2,,,,,,1996-12-10,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00038,풀꽃공원,어린이공원,,부산광역시 사하구 구평동 514,35.08018378,128.9877105,1502.6,,,,,,1996-12-10,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00039,열매공원,어린이공원,,부산광역시 사하구 구평동 511,35.07986636,128.9897447,1657.3,,,,,,1996-12-10,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00041,보림공원,어린이공원,,부산광역시 사하구 장림동 1139,35.083152,128.9673322,1532,,,,,,1997-08-26,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00042,장림공원,어린이공원,,부산광역시 사하구 장림동 1125,35.08188889,128.965405,910,,,,,,1998-05-02,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00044,통일아시아드공원,근린공원,,부산광역시 사하구 다대동 1585,35.05939394,128.980004,9915.3,,,,,,2003-11-20,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00045,희망공원,어린이공원,,부산광역시 사하구 당리동 309-5,35.1070058,128.9727379,989.3,,,,,,2003-12-11,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00046,하늘공원,어린이공원,,부산광역시 사하구 다대동 1673,35.06361877,128.9833972,2530,,,,,,2005-11-23,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00047,해찬나래공원,어린이공원,,부산광역시 사하구 감천동 94-1,35.08473771,129.0068555,4339,,,,,,2006-04-26,부산광역시 사하구청,051-220-4522,2025-11-05
26380-00048,마루공원,소공원,,부산광역시 사하구 당리동 63-40,35.10606634,128.9771054,709,,,,,,2006-07-21,부산광역시 사하구청,051-220-4522,2025-11-05
