관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26500-00001,강변공원,어린이공원,,부산광역시 수영구 망미동 198-1,35.178768,129.116922,1316,,,,,,2009-06-10,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00002,과정공원,어린이공원,,부산광역시 수영구 망미동 417-1,35.17466466,129.1085446,631.4,,,,,,2012-05-16,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00003,파랑새공원,어린이공원,,부산광역시 수영구 광안동 180-1,35.151799,129.1127574,827.7,,,,,,2015-10-28,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00004,수영공원,근린공원,,부산광역시 수영구 수영동 231,35.171212,129.1139531,23284,,,,,,1996-09-05,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00005,햇살공원,어린이공원,,부산광역시 수영구 망미동 824-8,35.172688,129.0991924,633.1,,,,,,2003-06-05,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00006,광안공원,근린공원,,부산광역시 수영구 광안동 260-2,35.153412,129.118511,65280,,,,,,1996-10-15,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00007,널구지공원,어린이공원,,부산광역시 수영구 민락동 336-43,35.16325038,129.129053,1500,,,,,,1996-02-17,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00008,수변공원,어린이공원,,부산광역시 수영구 민락동 110-18,35.155489,129.134419,4187,,,,,,2003-06-05,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00009,호암공원,근린공원,,부산광역시 수영구 광안동 743-5,35.158241,129.1115509,5048.4,,,,,,2005-10-19,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00010,망미공원,근린공원,,부산광역시 수영구 망미동 640-13,35.17375404,129.1046625,7789,,,,,,2007-08-20,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00010,망미공원,어린이공원,,부산광역시 수영구 망미동 640-11,35.17417547,129.1070611,2226,,,,,,2007-08-22,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00012,늘푸른공원,어린이공원,,부산광역시 수영구 남천동 152,35.141811,129.113478,2045,,,,,,2009-02-18,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00013,백산어린이공원,어린이공원,,부산광역시 수영구 민락동 770,35.16490476,129.123828,2535.1,,,,,,2007-09-12,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00014,광안1동 소공원,소공원,,부산광역시 수영구 광안동 1302-9,35.16527632,129.1111741,22,,,,,,2013-06-19,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00015,너울공원,어린이공원,,부산광역시 수영구 민락동 779,35.1655680642,129.1200925671,6599.8,,,,,,2013-12-20,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00016,해오름공원,소공원,,부산광역시 수영구 망미동 1163,35.1778954148,129.1000294,1999.7,,,,,,2008-01-09,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00017,배산공원,소공원,,부산광역시 수영구 망미동 1169,35.17729239,129.1013635,1424.5,,,,,,2008-01-09,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00018,만남의 공원,소공원,,부산광역시 수영구 망미동 1184,35.1734026519,129.1021879085,259.4,,,,,,2014-04-09,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00019,희망공원,소공원,,부산광역시 수영구 망미동 1181,35.17405109,129.1025990472,88.3,,,,,,2018-06-27,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00020,라온공원,어린이공원,,부산광역시 수영구 광안동 1336,35.1578284,129.1075342,1517.1,,,,,,2015-04-08,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00021,쉼마루소공원,소공원,,부산광역시 수영구 남천동 600,35.14267307,129.1055963,241.5,,,,,,2021-05-26,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00022,오솔길공원,소공원,,부산광역시 수영구 남천동 615,35.1408216375,129.1121532297,1606,,,,,,2009-12-16,부산광역시 수영구청,051-610-4535,2025-11-13
26500-00023,팽나무공원,소공원,,부산광역시 수영구 수영동 119,35.1706337365,129.1187721689,331,,,,,,2020-09-02,부산광역시 수영구청,051-610-4535,2025-11-13
