관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26470-00028,남문사거리2 가로공원,가로공원,,부산광역시 연제구 거제동 454-1,35.1881174198,129.0740384,2809,,,,,벤치 등,2024-10-16,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00027,남문사거리1 가로공원,가로공원,,부산광역시 연제구 거제동 18-53,35.1883312827,129.075150838,5890,,,,,파고라+체력단련시설 등,2024-10-16,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00026,거성사거리 가로공원,가로공원,,부산광역시 연제구 거제동 905-1,35.1913901173,129.0679779268,3272,,,,,벤치 등,2024-10-16,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00025,연산공원,소공원,,부산광역시 연제구 연산동 2373,35.17303541,129.0801392,2717.1,,,,,벤치 등,2015-03-11,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00024,하늘빛공원,어린이공원,,부산광역시 연제구 연산동 2350,35.17373815,129.0830881,2591,,조합놀이대 등,,,파고라+벤치 등,2005-11-16,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00023,수련둘소공원,소공원,,부산광역시 연제구 연산동 2347,35.18029334,129.0839563,1210.4,,,,,벤치 등,2006-12-27,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00022,수련하나소공원,소공원,,부산광역시 연제구 연산동 2345,35.17927812,129.0843819,984.1,,,,,벤치 등,2006-10-30,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00021,물만골소공원,소공원,,부산광역시 연제구 연산동 2349,35.18062696,129.082731,1319.1,,,,,벤치 등,2006-12-27,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00020,강변공원,소공원,,부산광역시 연제구 연산동 2318,35.18398875,129.1135507,196.8,,,,,벤치 등,2014-04-17,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00019,토곡근린공원,근린공원,,부산광역시 연제구 연산동 2223,35.17955738,129.1092524,29965,,조합놀이대 등,,,파고라+체력단련시설 등,1984-11-01,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00018,연천공원,소공원,,부산광역시 연제구 연산동 2313,35.18974006,129.0996952,1908,,,,,파고라+체력단련시설 등,2009-12-09,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00017,월륜공원,소공원,,부산광역시 연제구 연산동 2307,35.18356594,129.1125046,1044.7,,,,,파고라+벤치 등,2012-04-25,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00016,연이공원,소공원,,부산광역시 연제구 연산동 2304,35.17412087,129.0835229,818.4,,,,,파고라+벤치 등,2010-07-21,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00015,옛골공원,소공원,,부산광역시 연제구 연산동 2274,35.18727453,129.0902746,2764,,,,,파고라+체력단련시설 등,2006-12-27,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00014,쌍미공원,소공원,,부산광역시 연제구 연산동 2272,35.18810088,129.0876026,1209,,,,,파고라+벤치 등,2006-12-27,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00013,연화공원,소공원,,부산광역시 연제구 연산동 1431-1,35.17886494,129.0764976,2147.4,,,,,체력단련시설+벤치 등,2006-05-24,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00012,한들공원,어린이공원,,부산광역시 연제구 연산동 2314,35.19029035,129.0957541,3369.9,,조합놀이대 등,,,파고라+체력단련시설 등,2009-12-09,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00011,한빛공원,어린이공원,,부산광역시 연제구 연산동 2273,35.18905223,129.091121,1515,,그물놀이대 등,,,파고라+체력단련시설 등,2006-12-27,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00010,햇살공원,어린이공원,,부산광역시 연제구 연산동 2235-5,35.17787494,129.1119206,1610,,,,,파고라+체력단련시설 등,1990-06-01,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00009,연잎공원,어린이공원,,부산광역시 연제구 연산동 477-1,35.18596788,129.1080879,1588.2,,그네 등,,,파고라+체력단련시설 등,1973-01-31,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00008,과정공원,어린이공원,,부산광역시 연제구 연산동 407,35.18752618,129.1022898,1946.5,게이트볼장,조합놀이대 등,화장실,,파고라+체력단련시설 등,1973-01-31,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00007,새싹공원,어린이공원,,부산광역시 연제구 연산동 2132-1,35.17559743,129.0927312,619.8,,조합놀이대 등,,,파고라+체력단련시설 등,1969-12-31,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00006,꿈나무공원,어린이공원,,부산광역시 연제구 연산동 1478-1,35.18448121,129.0762522,1665.8,,조합놀이대 등,,,파고라+체력단련시설 등,1965-12-31,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00005,연봉공원,어린이공원,,부산광역시 연제구 연산동 631-6,35.18607288,129.0845711,1347,,,화장실,,파고라+벤치 등,1965-12-31,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00004,늘푸른공원,어린이공원,,부산광역시 연제구 연산동 789,35.17961902,129.0815429,1869.8,,조합놀이대 등,,,파고라+체력단련시설 등,1965-12-31,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00003,거제체육공원,체육공원,,부산광역시 연제구 거제동 1468-13,35.19497256,129.0819382,5848.5,게이트볼장,,,,파고라+체력단련시설 등,2003-02-12,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00002,어울림공원,어린이공원,,부산광역시 연제구 거제동 1480,35.1916864,129.0705333,3780.5,,조합놀이대 등,,,파고라+체력단련시설 등,1995-10-20,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
26470-00001,한마음공원,어린이공원,,부산광역시 연제구 거제동 1482-1,35.19351732,129.072740,2788.1,,조합놀이대 등,,,파고라+체력단련시설 등,1995-10-20,부산광역시 연제구청 녹지공원과,051-665-5491,2025-08-19
