관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26200-00001,함지골공원,근린공원,부산광역시 영도구 절영로 319,,35.07348728,129.0540805,144935,사격장,,음식점,청소년수련원,,1972-12-30,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00002,동삼공원,근린공원,,부산광역시 영도구 동삼동 510-28,35.073341,129.0676059,15995,"자전거, 거꾸로매달리기, 어깨근육풀기, 하늘걷기, 온몸노젓기, 온몸허리돌리기,다리뻗치기, 윗몸일으키기, 등허리지압기, 마라톤운동",,,,,1991-01-05,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00003,동삼혁신지구공원,문화공원,부산광역시 영도구 해양로301번길 36,,35.07874467,129.0779467,4735,,,,,,2007-09-03,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00004,절영어린이공원,어린이공원,,부산광역시 영도구 동삼동 1124-3,35.07191238,129.0611745,5946,"어깨근육풀기, 하늘걷기, 오금펴기, 자전거, 양팔줄당기기, 옆파도타기, 온몸허리돌리기, 마라톤운동, 거꾸로매달리기",조합놀이대+그네+건너는기구+흔들놀이기구,,,,1990-12-13,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00005,상리어린이공원,어린이공원,부산광역시 영도구 상리로 7,,35.08657479,129.0674196,3852,"온몸역기올리기,온몸근육풀기, 윗몸일으키기,다리뻗치기, 어깨근육풀기, 하늘걷기, 마라톤운동, 등허리지압기, 양팔줄당기기, 옆파도타기, 양팔줄당기기,온몸허리돌리기",조합놀이대+흔들놀이기구,,,,1990-06-23,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00006,일산봉어린이공원,어린이공원,부산광역시 영도구 상리로 1,,35.085692,129.0700343,1878,,조합놀이대+그네+흔들놀이기구,,,,1990-06-23,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00007,광명어린이공원,어린이공원,부산광역시 영도구 상리로 38,,35.083947,129.067073,3165,"양팔줄당기기, 철봉, 큰팔돌기기, 등허리지압기",조합놀이대+시소,,,,1990-06-23,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00008,팔각어린이공원,어린이공원,부산광역시 영도구 상리로 1,,35.085692,129.0700343,1511,,그네+시소,,,,1991-07-01,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00009,중리어린이공원,어린이공원,,부산광역시 영도구 동삼동 510-36,35.0747356,129.0713706,1502,"팔관절운동기구, 허리돌리기, 팔근육기르기, 양팔줄당기기, 허리맛사지기",조합놀이대+그네+시소,,,,1991-01-05,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00010,와치어린이공원,어린이공원,,부산광역시 영도구 동삼동 510-4,35.07578869,129.0677495,1516,"옆파도타기, 하늘걷기, 마라톤운동, 온몸허리돌리기",조합놀이대+미끄럼틀,,,,1991-01-05,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00011,푸른어린이공원,어린이공원,,부산광역시 영도구 동삼동 510-29,35.0740081,129.0675833,1514,,조합놀이대+그네,,,,1991-01-05,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00012,하리지구 소공원,소공원,,부산광역시 영도구 동삼동 1174-6,35.06972055,129.0815802,962,,,,,,2010-01-27,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00013,하리지구 소공원,소공원,,부산광역시 영도구 동삼동 1179,35.06865839,129.0824214,2699,,,,,,2010-01-27,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00014,푸른소공원,소공원,,부산광역시 영도구 봉래동4가 361,35.093015,129.046409,705,,,,,,2020-03-18,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00015,하늘소공원,소공원,,부산광역시 영도구 봉래동4가 349,35.09230863,129.0493555,960,,,,,,2020-03-18,부산시광역시 영도구청,051-419-4534,2026-01-05
26200-00016,어울림어린이공원,어린이공원,,부산광역시 영도구 동삼동366-1,35.0755677,129.0738066,1523,"체어웨이트, 트윈워밍암, 크로스컨트리",조합놀이대+그네+흔들놀이기구,,,,2007-05-23,부산시광역시 영도구청,051-419-4534,2026-01-05
