민원ID,시군,주소,위도,경도,접수일자,민원유형,처리상태,내용
DEMO-2026-001,수원시,경기도 수원시 팔달구 행궁동,37.281,127.013,2026-03-10,가지치기,처리완료,화성행궁로 벚꽃길 가지가 보행로를 가려 통행 위험 신고
DEMO-2026-002,수원시,경기도 수원시 팔달구 행궁동,37.281,127.013,2026-03-15,가지치기,접수,화성행궁로 추가 정리 요청 (반복 민원)
DEMO-2026-003,수원시,경기도 수원시 팔달구 행궁동,37.281,127.013,2026-04-02,위험목,접수,같은 구역 노거수 안전점검 재요청
DEMO-2026-004,수원시,경기도 수원시 팔달구 행궁동,37.281,127.013,2026-04-15,낙엽,처리중,화성행궁로 가로수 낙엽 처리 요청
DEMO-2026-005,수원시,경기도 수원시 영통구 영통동,37.249,127.072,2026-03-22,위험목,처리완료,영통구 가로수 가지 처짐 위험
DEMO-2026-006,고양시,경기도 고양시 일산동구 장항동,37.668,126.769,2026-04-08,가지치기,처리완료,호수공원로 메타세쿼이아 가지 정리 요청
DEMO-2026-007,고양시,경기도 고양시 일산동구 장항동,37.668,126.769,2026-04-22,위험목,처리중,같은 메타세쿼이아 안전 재점검 요청
DEMO-2026-008,고양시,경기도 고양시 덕양구 주교동,37.658,126.832,2026-03-28,낙과,접수,덕양구 가로수 낙과 민원
DEMO-2026-009,고양시,경기도 고양시 일산서구 주엽동,37.673,126.762,2026-04-12,가지치기,처리완료,일산서구 가로수 정리
DEMO-2026-010,성남시,경기도 성남시 분당구 정자동,37.385,127.110,2026-03-18,가지치기,처리완료,탄천로 벚꽃 가로수 가지 정리
DEMO-2026-011,성남시,경기도 성남시 분당구 서현동,37.385,127.123,2026-04-05,위험목,접수,서현역 인근 가로수 안전 재점검 요청
DEMO-2026-012,성남시,경기도 성남시 분당구 정자동,37.385,127.110,2026-04-25,낙엽,처리중,탄천변 낙엽 청소 요청
DEMO-2026-013,성남시,경기도 성남시 수정구 신흥동,37.448,127.139,2026-03-30,가지치기,접수,수정구 진입로 가로수 정리 필요
DEMO-2026-014,용인시,경기도 용인시 처인구 포곡읍,37.295,127.198,2026-04-09,단풍나무 병해,처리완료,에버랜드 진입 단풍나무 병해 의심
DEMO-2026-015,용인시,경기도 용인시 처인구 모현읍,37.295,127.215,2026-03-25,위험목,처리완료,모현 정몽주 묘역 노거수 가지 떨어짐
DEMO-2026-016,용인시,경기도 용인시 처인구 김량장동,37.241,127.177,2026-04-15,가지치기,처리중,시청 앞 가로수 정리 요청
DEMO-2026-017,가평군,경기도 가평군 상면 행현리,37.812,127.510,2026-03-20,위험목,처리완료,잣향기푸른숲 진입 노송 안전 점검 요청
DEMO-2026-018,가평군,경기도 가평군 상면 행현리,37.812,127.510,2026-04-10,가지치기,접수,같은 노송 가지 정리 추가 요청
DEMO-2026-019,화성시,경기도 화성시 우정읍 매향리,37.075,126.737,2026-03-15,곰솔 병해,처리완료,해안가 곰솔 솔잎혹파리 의심
DEMO-2026-020,화성시,경기도 화성시 우정읍 매향리,37.075,126.737,2026-04-05,위험목,처리중,같은 가로수 줄기 부패 재신고
DEMO-2026-021,안성시,경기도 안성시 양성면 미산리,37.014,127.215,2026-04-02,낙과,처리완료,미리내 진입로 은행나무 낙과 민원
DEMO-2026-022,안성시,경기도 안성시 봉남동,37.008,127.280,2026-04-20,가지치기,처리중,시청 앞 가로수 정리
DEMO-2026-023,포천시,경기도 포천시 소흘읍 직동리,37.781,127.165,2026-03-12,위험목,처리완료,광릉수목원 진입로 안전점검 요청
DEMO-2026-024,포천시,경기도 포천시 소흘읍 직동리,37.781,127.165,2026-04-10,산불 우려,접수,건조 시기 광릉숲 보호구역 점검
DEMO-2026-025,파주시,경기도 파주시 문산읍 임진리,37.853,126.776,2026-03-28,가지치기,처리완료,임진강로 가로수 정리
DEMO-2026-026,파주시,경기도 파주시 문산읍 마정리,37.890,126.745,2026-04-15,낙엽,처리중,임진각 인근 낙엽 청소 요청
DEMO-2026-027,부천시,경기도 부천시 원미구 원미동,37.504,126.766,2026-04-01,가지치기,처리완료,시청 인근 가로수 정리
DEMO-2026-028,부천시,경기도 부천시 소사구 송내동,37.487,126.752,2026-04-20,위험목,접수,같은 가로수 재점검 요청
DEMO-2026-029,남양주시,경기도 남양주시 금곡동,37.636,127.216,2026-03-25,낙과,처리완료,은행나무 낙과 미끄럼 위험
DEMO-2026-030,남양주시,경기도 남양주시 조안면 능내리,37.612,127.214,2026-04-12,가지치기,처리중,다산 정약용 유적길 가로수 정리
DEMO-2026-031,안양시,경기도 안양시 만안구 안양동,37.395,126.957,2026-03-30,가지치기,처리완료,시청 앞 가로수 정리
DEMO-2026-032,안양시,경기도 안양시 동안구 비산동,37.402,126.945,2026-04-18,위험목,접수,비산동 노거수 점검
DEMO-2026-033,평택시,경기도 평택시 평택동,36.992,127.113,2026-04-05,단풍나무 병해,처리완료,평택역 시가지 단풍나무 병해
DEMO-2026-034,평택시,경기도 평택시 안중읍 안중리,36.967,126.825,2026-04-22,위험목,처리중,안중읍 노송 안전 점검
DEMO-2026-035,광명시,경기도 광명시 광명동,37.479,126.865,2026-03-22,가지치기,처리완료,시청 인근 가로수 정리
DEMO-2026-036,광명시,경기도 광명시 철산동,37.477,126.866,2026-04-14,낙엽,접수,철산동 가로수 낙엽 청소 요청
DEMO-2026-037,양평군,경기도 양평군 양평읍,37.491,127.487,2026-04-08,가지치기,처리완료,양평읍 가로수 정리
DEMO-2026-038,양평군,경기도 양평군 용문면 신점리,37.555,127.487,2026-04-15,위험목,처리중,용문산 노거수 안전점검
DEMO-2026-039,여주시,경기도 여주시 천송동,37.300,127.640,2026-04-02,곰솔 병해,처리완료,신륵사 진입로 가로수 병해 의심
DEMO-2026-040,이천시,경기도 이천시 창전동,37.272,127.435,2026-03-26,가지치기,처리완료,창전동 시가지 가로수 정리
DEMO-2026-041,광주시,경기도 광주시 송정동,37.430,127.255,2026-04-10,낙과,처리중,송정동 가로수 낙과 민원
DEMO-2026-042,군포시,경기도 군포시 당동,37.361,126.935,2026-04-18,위험목,접수,당동 노거수 안전 점검 요청
DEMO-2026-043,오산시,경기도 오산시 오산동,37.150,127.078,2026-03-30,가지치기,처리완료,오산동 시가지 가로수 정리
DEMO-2026-044,연천군,경기도 연천군 신서면 도신리,38.085,127.064,2026-04-05,산불 우려,접수,건조 시기 임진강변 가로수 점검 요청
DEMO-2026-045,연천군,경기도 연천군 신서면 도신리,38.085,127.064,2026-04-22,위험목,처리중,같은 구역 노거수 가지 처짐 신고
DEMO-2026-046,김포시,경기도 김포시 사우동,37.615,126.716,2026-04-25,가지치기,처리완료,사우동 가로수 정리
DEMO-2026-047,시흥시,경기도 시흥시 정왕동,37.350,126.736,2026-04-20,낙엽,처리중,정왕동 가로수 낙엽 청소 요청
DEMO-2026-048,안산시,경기도 안산시 단원구 고잔동,37.322,126.831,2026-04-23,가지치기,접수,고잔동 시가지 가로수 정리 필요
DEMO-2026-049,의정부시,경기도 의정부시 의정부동,37.738,127.034,2026-04-26,위험목,접수,의정부동 노거수 안전 점검 요청
DEMO-2026-050,하남시,경기도 하남시 신장동,37.539,127.215,2026-04-27,곰솔 병해,접수,신장동 가로수 솔잎혹파리 의심
