시스템키,가로수길명,가로수길시작경도,가로수길시작위도,가로수길종료경도,가로수길종료위도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
9001,수원 화성행궁로 왕벚나무,127.013,37.281,127.027,37.279,왕벚나무,720,3.8,1980,수원 화성 행궁 일원 벚나무 가로수. 봄철 벚꽃 명소,행궁로,지방도,수원시 팔달구 신풍동~행궁동,031-228-2114,경기도 수원시청,2026-04-01,6010000,경기도 수원시청
9002,일산 호수공원 메타세쿼이아,126.769,37.668,126.781,37.671,메타세쿼이아,540,2.6,1996,일산 호수공원 둘레길 메타세쿼이아 가로수,호수로,시도,고양시 일산동구 장항동,031-909-9114,경기도 고양시청,2026-04-01,6100000,경기도 고양시청
9003,분당 탄천변 벚꽃길,127.110,37.385,127.130,37.395,왕벚나무,610,4.2,1991,분당 탄천변에 식재된 벚나무 가로수. 봄 명소,탄천로,지방도,성남시 분당구 정자동~서현동,031-729-2114,경기도 성남시청,2026-04-01,6020000,경기도 성남시청
9004,파주 임진강변 곰솔,126.776,37.853,126.789,37.860,곰솔,310,2.5,1988,파주 임진강 일원 곰솔 가로수,임진강로,지방도,파주시 문산읍 임진리,031-940-4114,경기도 파주시청,2026-04-01,6200000,경기도 파주시청
9005,용인 에버랜드 진입로 단풍나무,127.198,37.295,127.215,37.302,단풍나무,260,2.2,2001,용인 에버랜드 진입로 단풍나무 가로수. 가을 명소,에버랜드로,지방도,용인시 처인구 포곡읍,031-324-2114,경기도 용인시청,2026-04-01,6190000,경기도 용인시청
9006,가평 잣향기푸른숲 진입로,127.510,37.812,127.520,37.820,잣나무,180,1.6,1985,가평 잣향기푸른숲 진입로 잣나무 가로수,축령로,지방도,가평군 상면 행현리,031-580-2114,경기도 가평군청,2026-04-01,6310000,경기도 가평군청
9007,포천 국립수목원 진입로 노송,127.165,37.781,127.175,37.788,소나무,210,1.9,1975,국립수목원 인근 노송 가로수,수목원로,지방도,포천시 소흘읍 직동리,031-538-2114,경기도 포천시청,2026-04-01,6270000,경기도 포천시청
9008,화성 우정사람관광 해안로 곰솔,126.737,37.075,126.748,37.081,곰솔,290,2.4,1988,화성 궁평항 인근 해안 곰솔 가로수,제부로,지방도,화성시 우정읍 매향리,031-369-2114,경기도 화성시청,2026-04-01,6240000,경기도 화성시청
9009,안성 미리내 진입로 은행나무,127.215,37.014,127.225,37.019,은행나무,380,2.1,1985,안성 미리내성지 인근 은행나무 가로수. 가을 단풍 명소,미리내로,일반국도,안성시 양성면 미산리,031-678-2114,경기도 안성시청,2026-04-01,6220000,경기도 안성시청
9010,남양주 다산 정약용 유적길,127.214,37.612,127.224,37.617,느티나무,110,1.2,1962,남양주 다산 정약용 유적지 진입로 느티나무 가로수,다산로,군도,남양주시 조안면 능내리,031-590-2114,경기도 남양주시청,2026-04-01,6130000,경기도 남양주시청
9011,양평 두물머리 진입로,127.305,37.530,127.315,37.535,느티나무,160,1.5,1955,양평 두물머리 보호림 진입로 가로수,두물머리로,지방도,양평군 양서면 양수리,031-770-2114,경기도 양평군청,2026-04-01,6320000,경기도 양평군청
9012,여주 신륵사 진입로 단풍나무,127.640,37.300,127.648,37.305,단풍나무,140,1.2,1998,여주 신륵사 진입로 단풍나무 가로수,여강로,지방도,여주시 천송동,031-887-2114,경기도 여주시청,2026-04-01,6280000,경기도 여주시청
