관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26290-00009,개나리어린이공원,어린이공원,,부산광역시 남구 문현동 189-22,35.138072,129.073376,370,,,,,,1971-10-23,,,2025-07-16
26290-00010,통일동산어린이공원,어린이공원,,부산광역시 남구 문현동 189-16,35.139757,129.0730801,479,,,,,,1971-10-23,,,2025-07-16
26290-00011,이기대공원,근린공원,,부산광역시 남구 용호동 산27 일원,35.12367789,129.1229501,1312701,,,,,,1986-12-02,,,2025-07-16
26290-00012,우룡산공원,근린공원,,부산광역시 남구 대연동 산180,35.13074664,129.082289,28025,,,,,,1995-05-16,,,2025-07-16
26290-00013,용호공원,근린공원,부산광역시 남구 분포로111(용호동),부산광역시 남구 용호동 176-30,35.126895,129.109629,10037,,,,,,1997-04-24,,,2025-07-16
26290-00014,분포공원,근린공원,,부산광역시 남구 용호동 176-9,35.13067776,129.1074982,13398,,,,,,1997-05-06,,,2025-07-16
26290-00015,문현3 어린이공원1,어린이공원,,부산광역시 남구 문현동 21-10,35.147056,129.073571,2204,,,,,,2020-09-30,,,2025-07-16
26290-00016,문현3 어린이공원2,어린이공원,부산광역시 남구 고동골로69번가길 50,부산광역시 남구 문현동 558-20,35.145593,129.071143,1558,,,,,,2020-09-30,,,2025-07-16
26290-00020,평화공원,근린공원,,부산광역시 남구 대연동 706-5,35.125799,129.100282,32015,,,,,,2004-09-02,,,2025-07-16
26290-00021,미르아토어린이공원,어린이공원,,부산광역시 남구 용호동 544-6,35.112869,129.111903,1982.2,,,,,,2004-12-30,,,2025-07-16
26290-00001,대연공원,근린공원,,부산광역시 남구 대연동 1346-305,35.13769668,129.0945678,6126,,,,,,1944-01-08,,,2025-07-16
26290-00022,감만A어린이공원,어린이공원,부산광역시 남구 홍곡로57번길 22-1,부산광역시 남구 감만동 176-24,35.117437,129.084186,4247,,,,,,2021-12-29,,,2025-07-16
26290-00023,감만B어린이공원,어린이공원,부산광역시 남구 우암로2번길 45-3,부산광역시 남구 감만동 225-7,35.112435,129.083668,8572,,,,,,2021-12-29,,,2025-07-16
26290-00024,솔뫼어린이공원,어린이공원,부산광역시 남구 용호로123번가길 27,부산광역시 남구 용호동 473,35.121847,129.115151,2450,,,,,,2021-08-25,,,2025-07-16
26290-00025,동천문화공원,문화공원,,부산광역시 남구 문현동 1227-1,35.14865604,129.0643778,3543.5,,,,,,2008-12-12,,,2025-07-16
26290-00026,대연문화공원,문화공원,,부산광역시 남구 대연동 1864,35.13962157,129.103957,6811.4,,,,,,2008-12-12,,,2025-07-16
26290-00027,대연혁신도시 어린이공원,어린이공원,,부산광역시 남구 대연동 1860,35.14232896,129.0999842,4330.6,,,,,,2008-12-12,,,2025-07-16
26290-00028,대동골소공원,소공원,부산광역시 남구 황령대로319번가길 170,부산광역시 남구 대연동 243-10,35.151303,129.088969,1227,,,,,,2012-05-30,,,2025-07-16
26290-00029,금융지구공원,문화공원,,부산광역시 남구 문현동 1228-6,35.14654068,129.0644345,2257.5,,,,,,2011-11-17,,,2025-07-16
26290-00030,감만당집마루 소공원,소공원,부산광역시 남구 무민사로33번길 11-15,부산광역시 남구 감만동 463-1,35.112918,129.080413,1193,,,,,,2014-02-26,,,2025-07-16
26290-00031,무제등소공원,소공원,,부산광역시 남구 용당동 24-2,35.107143,129.104494,4948,,,,,,2016-08-31,,,2025-07-16
26290-00002,당곡공원,역사공원,,부산광역시 남구 대연동 산210-4,35.12349905,129.0908733,75465,,,,,,1944-01-08,,,2025-07-16
26290-00032,대연숲속소공원,소공원,,부산광역시 남구 대연동 1808-4,35.137536,129.106734,2238.2,,,,,,2012-10-31,,,2025-07-16
26290-00033,오솔소공원,소공원,,부산광역시 남구 용호동 372-24,35.120114,129.113082,1266.9,,,,,,2019-05-29,,,2025-07-16
26290-00034,소공원,소공원,,부산광역시 남구 대연동 1046,35.129499,129.090434,2265.9,,,,,,2017-12-13,,,2025-07-16
26290-00035,소공원,소공원,,부산광역시 남구 대연동 919-36,35.129533,129.0882899,5719.4,,,,,,2017-12-13,,,2025-07-16
26290-00036,소공원,소공원,,부산광역시 남구 문현동 426-81,35.141583,129.069574,876,,,,,,2017-12-13,,,2025-07-16
26290-00037,대연어린이공원,어린이공원,,부산광역시 남구 대연동 1871,35.1371365,129.0796813,2469.6,,,,,,2005-06-15,,,2025-07-16
26290-00038,석포어린이공원,어린이공원,,부산광역시 남구 대연동 1892,35.125859,129.0912389,1622.2,,,,,,2006-11-15,,,2025-07-16
26290-00039,초록어린이공원,어린이공원,,부산광역시 남구 대연동 1896,35.12197316,129.0897906,1866.7,,,,,,2006-11-15,,,2025-07-16
26290-00040,남광공원,소공원,,부산광역시 남구 대연동 1898,35.12167453,129.0902971,283.8,,,,,,2006-11-15,,,2025-07-16
26290-00041,소공원,소공원,부산광역시 남구 고동골로 85,부산광역시 남구 문현동 555-53,35.1445922,129.0715832,2417,,,,,,2020-09-30,,,2025-07-16
26290-00003,대일어린이공원,어린이공원,부산광역시 남구 유엔평화로13번길 63(대연동),부산광역시 남구 대연동 1727-1,35.134016,129.0954482,422.1,,,,,,1965-11-10,,,2025-07-16
26290-00042,문현IFC소공원1,소공원,,부산광역시 남구 문현동 758-11,35.143206,129.0640192,3407,,,,,,2023-05-10,,,2025-07-16
26290-00043,문현IFC소공원2,소공원,,부산광역시 남구 문현동 786-32,35.14225619,129.0646803,1543,,,,,,2023-05-10,,,2025-07-16
26290-00044,소공원,소공원,,부산광역시 남구 우암동 209-34,35.129139,129.071771,1269,,,,,,2022-04-06,,,2025-07-16
26290-00045,소공원,소공원,,부산광역시 남구 우암동 129-56,35.12708417,129.0748973,660,,,,,,2022-10-26,,,2025-07-16
26290-00046,우암1공원,어린이공원,,부산광역시 남구 우암동 110-5,35.12841827,129.0790723,3953,,,,,,2022-10-26,,,2025-07-16
26290-00047,어린이공원,어린이공원,,부산광역시 남구 대연동 산166-6,35.132607,129.083827,2027,,,,,,2023-05-17,,,2025-07-16
26290-00048,어린이공원,어린이공원,,부산광역시 남구 문현동 212-3번지 일원,35.13272883,129.073000,1505,,,,,,2024-11-06,,,2025-07-16
26290-00049,어린이공원,어린이공원,,부산광역시 남구 문현동 238-233번지 일원,35.1388443,129.076400,4400,,,,,,2024-11-06,,,2025-07-16
26290-00050,어린이공원,어린이공원,,부산광역시 남구 용호동 522-1번지 일원,35.1454519,129.067200,2911,,,,,,2024-11-20,,,2025-07-16
26290-00051,소공원,소공원,,부산광역시 남구 문현동 189-79번지 일원,35.1394024,129.073000,1215,,,,,,2024-11-06,,,2025-07-16
26290-00004,못골어린이공원,어린이공원,부산광역시 남구 진남로 46번길 37(대연동),부산광역시 남구 대연동 1475-2,35.139799,129.090081,499.8,,,,,,1968-10-25,,,2025-07-16
26290-00005,솔밭어린이공원,어린이공원,부산광역시 남구 동명로 114(용호동),부산광역시 남구 용호동 409-5,35.120074,129.109518,1500.2,,,,,,1970-08-07,,,2025-07-16
26290-00006,UN기념공원,묘지공원,부산광역시 남구 유엔평화로 93(대연동),부산광역시 남구 대연동 779-1,35.12739751,129.0960638,176486,,,,,,1971-04-06,,,2025-07-16
26290-00007,해솔어린이공원,어린이공원,부산광역시 남구 진남로188번가길 49-6,부산광역시 남구 문현동 96-3,35.14203831,129.079284,1654,,,,,,1971-10-22,,,2025-07-16
26290-00008,문현어린이공원,어린이공원,,부산광역시 남구 문현동 136-8,35.142741,129.073677,364,,,,,,1971-10-23,,,2025-07-16
