관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26260-00001,동래사적공원,근린공원,,부산광역시 동래구 명륜동 137-4,35.211818,129.0921895,563833.5,에어로빅장+농구장+배드민턴장,,주차장+화장실,문화회관,박물관+문화재시설,1972-12-30,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00002,명장공원,근린공원,,부산광역시 동래구 명장동 455-2,35.207759,129.108461,132510,,,,,,1972-12-30,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00003,온천아파트공원,근린공원,부산광역시 동래구 충렬대로 107번길 54,부산광역시 동래구 온천동 707,35.209842,129.074409,12088,,,,,,1982-04-07,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00004,수민어울공원,근린공원,,부산광역시 동래구 낙민동 135-1,35.196528,129.091638,11352,,,,,바닥분수,1982-04-07,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00005,낙민공원,근린공원,,부산광역시 동래구 낙민동 92-8,35.19559115,129.097216,5984.7,테니스장+씨름장+농구장,어린이놀이시설,화장실,,,1982-04-07,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00006,연안수민공원,근린공원,부산광역시 동래구 안남로 9,부산광역시 동래구 낙민동 83-12,35.19489855,129.0933215,1470.1,,,,,,1982-04-07,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00007,온천공원,근린공원,,부산광역시 동래구 온천동 산201-1,35.20725578,129.0617177,120576,,,,,,1995-05-16,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00008,금강공원,근린공원,부산광역시 동래구 우장춘로 155,부산광역시 동래구 온천동 20-1,35.21962513,129.075758,974280,,,,,,1965-04-21,부산시설공단,1670-8114,2025-08-26
26260-00009,복천동고분군공원,역사공원,부산광역시 동래구 복천로 66,부산광역시 동래구 복천동 50,35.207379,129.091795,45130,,,주차장+화장실,,문화재시설,2014-11-19,부산광역시 문화시설사업소,051-550-6603,2025-08-26
26260-00010,충렬사공원,역사공원,,부산광역시 동래구 안락동 831-1,35.20169201,129.095486,98790,,,주차장+화장실,충렬사,,2015-02-11,부산광역시 충렬사관리사업소,051-523-4224,2025-08-26
26260-00011,쇠미소공원,소공원,,부산광역시 동래구 사직동 597-93,35.20271272,129.053221,10824,,,,,,2012-07-04,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00012,명장소공원,소공원,,부산광역시 동래구 명장동 334-2,35.20975238,129.1041775,2820,,어린이놀이시설,,,,2013-07-03,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00013,SWITZEN PARK,소공원,,부산광역시 동래구 사직동 1037,35.19896555,129.0575801,666.3,,,,,,2006-07-05,부산광역시 동래구청,051-550-4511,2025-08-26
26260-00014,산저공원,소공원,,부산광역시 동래구 온천동 1853-25,35.21153247,129.072223,819.7,,,,,,2021-09-01,부산광역시 동래구청,051-550-4511,2025-08-26
