관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26230-00018,색동어린이공원,어린이공원,,부산광역시 부산진구 당감동 796-1,35.1728201,129.0301309,1681.5,,조합놀이대,,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00019,은하수어린이공원,어린이공원,,부산광역시 부산진구 부암동 721,35.1746046,129.0317164,1630.9,,미끄럼틀+흔들놀이기구+오르는기구,,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00020,동양어린이공원,어린이공원,,부산광역시 부산진구 부암동 726,35.17621167,129.0299758,1554.3,,그네+조합놀이대,,,,1995-01-07,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00021,연지어린이공원,어린이공원,,부산광역시 부산진구 연지동 48,35.17304567,129.0557013,1597.4,,조합놀이대,,,,1961-02-15,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00022,꿈동산어린이공원,어린이공원,,부산광역시 부산진구 양정동 91-2,35.1744214,129.0774871,1775.2,,조합놀이대+흔들놀이기구,,,,1961-02-15,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00023,전포2-1재개발,어린이공원,,부산광역시 부산진구 전포동 415-7,35.1541799,129.0711269,3025,,조합놀이대,,,,2005-12-14,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00024,가야감고개공원,문화공원,,부산광역시 부산진구 가야동 553,35.14802443,129.0336273,6443,,조합놀이대,화장실,,,2016-03-02,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00025,양지공원,소공원,,부산광역시 부산진구 양정동 528,35.17204571,129.0806133,1101.7,,,,,,2020-12-04,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00026,전포2-1재개발공원,소공원,,부산광역시 부산진구 전포동 925,35.15325551,129.0701524,758,,,,,,2021-05-24,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00027,전포2-1재개발공원,소공원,,부산광역시 부산진구 전포동 913,35.15749578,129.069780,844.7,,,,,,2021-05-24,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00028,전포2-1재개발공원,소공원,,부산광역시 부산진구 전포동 917,35.15775835,129.0706738,344.9,,,,,,2021-05-24,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00029,몰리소공원,소공원,,"부산광역시 부산진구 가야동 156 ",35.15251389,129.0299297,341.5,,,,,,2022-11-24,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00001,초연공원,근린공원,,부산광역시 부산진구 초읍동 산66-1,35.18005229,129.0488899,57380,,조합놀이대+숲속놀이터,,,,1944-01-03,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00002,양정공원,근린공원,,부산광역시 부산진구 전포동 109-1,35.16796029,129.068137,9252,,조합놀이대,화장실,,,1944-01-03,부산광역시 부산진구청,051-605-6315,2025-11-21
26230-00003,어린이대공원,근린공원,,부산광역시 부산진구 초읍동 43,35.18271899,129.0469946,3606714,,,,,,1978-09-21,부산시설공단,051-605-6315,2025-11-21
