관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26530-00001,모라어울림공원,어린이공원,부산광역시 사상구 사상로439번길 47,부산광역시 사상구 모라동 713-11,35.1842392,128.9836086,1576.2,,,,,,1968-11-29,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00002,야시곡공원,어린이공원,부산광역시 사상구 백양대로950번나길 94,부산광역시 사상구 모라동 1325,35.194794,128.9948069,2424.5,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00003,곡상골공원,어린이공원,부산광역시 사상구 백양대로 949-20,부산광역시 사상구 모라동 1345-6,35.19153821,128.9909285,830.4,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00004,고동바위공원,어린이공원,부산광역시 사상구 백양대로907번다길 6,부산광역시 사상구 모라동 1359,35.188206,128.9902926,1684.1,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00005,운수공원,어린이공원,부산광역시 사상구 모라로192번길 20-21,부산광역시 사상구 모라동 75-3,35.18340104,129.0006778,1536.2,,,,,,1990-06-23,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00006,모라백양공원,어린이공원,부산광역시 사상구 모라로192번길 136,부산광역시 사상구 모라동 75-5,35.182139,129.0016374,2404.1,,,,,,1990-06-23,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00007,서당골공원,어린이공원,부산광역시 사상구 모라로192번길 151,부산광역시 사상구 모라동 75-15,35.18159924,129.0016108,6091.6,,,,,,1990-06-23,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00008,덕포공원,어린이공원,부산광역시 사상구 사상로386번길 42,부산광역시 사상구 덕포동 365-1,35.178556,128.9876612,1670.1,,,,,,1968-11-29,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00009,덕포체육공원,어린이공원,부산광역시 사상구 덕상로 69,부산광역시 사상구 덕포동 763,35.17759531,128.9892872,4573.6,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00010,덕포백양공원,어린이공원,부산광역시 사상구 백양대로762번길 17,부산광역시 사상구 덕포동 776-1,35.174907,128.9895802,1602.1,,,,,,1985-01-09,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00011,창날공원,어린이공원,부산광역시 사상구 광장로87번길 30,부산광역시 사상구 괘법동 537-2,35.16389142,128.985594,1689.9,,,,,,1968-11-29,부산광역시 사상구청,051-310-4521,2026-06-09
26530-00012,창신공원,어린이공원,부산광역시 사상구 양지로22번길 39,부산광역시 사상구 주례동 294,35.15560251,129.0045877,1507.1,,,,,,1984-09-19,부산광역시 사상구청,051-310-4521,2026-06-09
