관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26350-00001,대천산림문화공원,문화공원,,부산광역시 해운대구 좌동 1390,35.1813394289,129.1678282851,25573,,,,,,2017-10-11,부산광역시 해운대구청,,2025-11-15
26350-00002,동백공원,근린공원,,부산광역시 해운대구 우동710-3,35.15259434,129.1525397,146350,,,,,,1966-09-01,관광관리시설사업소,,2025-11-15
26350-00003,해운대공원,근린공원,,부산광역시 해운대구 우동 703-1,35.15825347,129.1564918,124739,,,,,,1968-10-07,관광관리시설사업소,,2025-11-15
26350-00004,APEC나루공원,근린공원,,부산광역시 해운대구 우동 1494,35.16790825,129.1273173,99999.3,,,,,,2000-08-10,부산광역시 해운대구청,,2025-11-15
26350-00005,동래-해운대공원,근린공원,,부산광역시 해운대구 우동 993-31,35.16181249,129.1464404252,133149,,,,,,1970-03-27,부산광역시 해운대구청,,2025-11-15
26350-00006,오산공원,근린공원,,부산광역시 해운대구 중동 1762,35.16713479,129.1732319,19488,,,,,,1992-07-25,부산광역시 해운대구청,,2025-11-15
26350-00007,부흥공원,근린공원,,부산광역시 해운대구 좌동 1325,35.16893565,129.1818791,10737,,,,,,1992-07-25,부산광역시 해운대구청,,2025-11-15
26350-00008,장산공원,근린공원,,부산광역시 해운대구좌동 1371-1,35.17440803,129.1651705,49245.6,,,,,,1992-07-25,부산광역시 해운대구청,,2025-11-15
26350-00009,대천공원,근린공원,,부산광역시 해운대구 좌동 1381,35.18163195,129.1670878,78153.8,,,,,,1992-07-25,부산광역시 해운대구청,,2025-11-15
26350-00010,반여공원,근린공원,,부산광역시 해운대구 반여동 1630,35.1994919,129.1236657,10430,,,,,,1999-03-06,부산광역시 해운대구청,,2025-11-15
26350-00011,아시아선수촌공원,근린공원,,부산광역시 해운대구 반여동 1634,35.20216233,129.1226305,12997,,,,,,1999-03-06,부산광역시 해운대구청,,2025-11-15
26350-00012,초록공원,근린공원,,부산광역시 해운대구 반여3동 산110-2번지,35.2033471,129.1280857,28006,,,,,,2009-12-23,부산광역시 해운대구청,,2025-11-15
26350-00013,해운대수목원,근린공원,,부산광역시 해운대구 석대동 24번지,35.2297418,129.1256921,628275,,,,,,2011-02-09,부산광역시 해운대구청,,2025-11-15
26350-00014,반송근린공원,근린공원,,부산광역시 해운대구 반송동 844-2,35.22024108,129.1592756,89840,,,,,,2017-06-21,부산광역시 해운대구청,,2025-11-15
26350-00015,담안골공원,근린공원,,부산광역시 해운대구 반송동 882(반송택지개발지구),35.2277501,129.163538,10099,,,,,,1990-12-13,부산광역시 해운대구청,,2025-11-15
26350-00016,아이파크공원,어린이공원,,부산광역시 해운대구 우동 1408-2,35.1577488,129.1434158,4893,,,,,,2011-02-16,부산광역시 해운대구청,,2025-11-15
26350-00017,운촌어린이공원,어린이공원,,부산광역시 해운대구 우동 759-15,35.1585421,129.1521893,3635,,,,,,1998-12-22,부산광역시 해운대구청,,2025-11-15
26350-00018,도담공원,어린이공원,,부산광역시 해운대구 우동 933-54,35.1683296,129.1350636,1353.1,,,,,,1972-05-08,부산광역시 해운대구청,,2025-11-15
26350-00019,다소미공원,어린이공원,,부산광역시 해운대구 중동 1508-10,35.1575399,129.1763098,2311.7,,,,,,1970-11-23,부산광역시 해운대구청,,2025-11-15
26350-00020,미소공원,어린이공원,,부산광역시 해운대구 중동 1816,35.16153597,129.1776534,5058.9,,,,,,2006-06-07,부산광역시 해운대구청,,2025-11-15
26350-00021,바다내음공원,어린이공원,,부산광역시 해운대구 중동 1516-1,35.1612302,129.1720429,421.8,,,,,,1970-11-13,부산광역시 해운대구청,,2025-11-15
26350-00022,견우공원,어린이공원,,부산광역시 해운대구 좌동 1311,35.17152923,129.1799416,1799,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00023,햇살공원,어린이공원,,부산광역시 해운대구 좌동 1293,35.1753801,129.1746027,5708,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00024,거미줄공원,어린이공원,,부산광역시 해운대구 좌동 1334,35.1656385,129.1790889,1804,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00025,꿈나무공원,어린이공원,,부산광역시 해운대구 좌동1336,35.1663624,129.1776921,1879,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00026,누림공원,어린이공원,,부산광역시 해운대구 좌동 1437-3,35.17311197,129.1842377,3760,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00027,와우공원,어린이공원,,부산광역시 해운대구 좌동 1452,35.16504225,129.1811558,1878.6,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00028,자유공원,어린이공원,,부산광역시 해운대구 좌동 1447-1,35.1677819,129.1848492,1803.2,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00029,직녀공원,어린이공원,,부산광역시 해운대구 좌동 1322,35.17125289,129.1805602,1793.1,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00030,소담공원,어린이공원,,부산광역시 해운대구 좌동 1376,35.17851458,129.1665199,1972,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00031,웃음누리공원,어린이공원,,부산광역시 해운대구 좌동 1347-4,35.16847014,129.1673318,3898.7,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00032,푸른공원,어린이공원,,부산광역시 해운대구 좌동 1349,35.17199733,129.1683664,1806.8,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00033,해바람공원,어린이공원,,부산광역시 해운대구 좌동 1364,35.17105879,129.163919,1805.6,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00034,미리내공원,어린이공원,,부산광역시 해운대구 좌동 1416,35.17826585,129.1791161,2502.8,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00035,산들공원,어린이공원,,부산광역시 해운대구 좌동 1397,35.17935913,129.1723708,2720,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
26350-00036,견우공원,어린이공원,,부산광역시 해운대구 좌동 1311,35.17152923,129.1799416,1799,,,,,,1992-08-06,부산광역시 해운대구청,,2025-11-15
